scholar_id,url_picture,name,affiliation,email_domain,interests,citedby,Country Ranking,World Rank,Country,Institution
mUDHRIQAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=mUDHRIQAAAAJ,Markus Klute,"Assistant Professor of Physics, Massachusetts Institute of Technology",@mit.edu,['Particle Physics'],255599,1,1,USA,Massachusetts Institute of Technology - MIT
8086TkwAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=8086TkwAAAAJ,Moungi G. Bawendi,Massachusetts Institute of Technology,@mit.edu,[],162225,1,1,USA,Massachusetts Institute of Technology - MIT
ZglAOxkAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=ZglAOxkAAAAJ,Paul A Samuelson,Massachusetts Institute of Technology,,['Economics'],160531,1,1,USA,Massachusetts Institute of Technology - MIT
B5QpZooAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=B5QpZooAAAAJ,Feng Zhang,HHMI / Massachusetts Institute of Technology / Broad Institute of MIT and Harvard,@mit.edu,"['neuroscience', 'microbiology', 'optogenetics', 'genome engineering']",159707,1,1,USA,Massachusetts Institute of Technology - MIT
VUmcVOAAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=VUmcVOAAAAAJ,Dimitri Bertsekas,Arizona State University - Massachusetts Institute of Technology,@mit.edu,"['Optimization and Control', 'Large-Scale Computation']",131827,1,1,USA,Massachusetts Institute of Technology - MIT
Kkjq1vMAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=Kkjq1vMAAAAJ,Stephen L. Buchwald,"Professor of Chemistry, Massachusetts Institute of Technology",@mit.edu,"['organic synthesis', 'organometallic chemistry', 'catalysis', 'asymmetric catalysis', 'flow chemistry']",127021,1,1,USA,Massachusetts Institute of Technology - MIT
N6ah30sAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=N6ah30sAAAAJ,Anantha Chandrakasan,"Dean of Engineering, Massachusetts Institute of Technology",@mit.edu,"['Energy Efficient Design', 'Machine Learning Hardware', 'Security Hardware']",114813,1,1,USA,Massachusetts Institute of Technology - MIT
cxBrKTUAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=cxBrKTUAAAAJ,DH Shoemaker,"Senior Research Scientist, Massachusetts Institute of Technology (MIT)",@mit.edu,['Gravitational Wave detection'],113748,1,1,USA,Massachusetts Institute of Technology - MIT
mzSv5kgAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=mzSv5kgAAAAJ,Frank Wilczek,Professor of Physics at the Massachusetts Institute of Technology,,"['Asymptotic Freedom', 'Quantum chromodynamics', 'Quantum Statistics']",104522,1,1,USA,Massachusetts Institute of Technology - MIT
7GftUzMAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=7GftUzMAAAAJ,Slawomir Gras,Massachusetts Institute of Technology - LIGO Laboratory,@mit.edu,"['Gravitational Waves', 'Precision Measurement']",104079,1,1,USA,Massachusetts Institute of Technology - MIT
YLB6tnwAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=YLB6tnwAAAAJ,Gang Chen,"Professor, Mechanical Engineering, massachusetts institute of technology",@mit.edu,"['heat', 'energy', 'photovoltaic', 'electromagnetic', 'desalination']",103143,1,1,USA,Massachusetts Institute of Technology - MIT
w0iKa2kAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=w0iKa2kAAAAJ,Prof. Jing Kong,Massachusetts Institute of Technology,@mit.edu,['Low dimensional materials'],97555,1,1,USA,Massachusetts Institute of Technology - MIT
NM1dXVYAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=NM1dXVYAAAAJ,Daniel G. Anderson,Massachusetts Institute of Technology,@mit.edu,"['biomaterials', 'gene delivery', 'nanomedicine']",84166,1,1,USA,Massachusetts Institute of Technology - MIT
yepgRwcAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=yepgRwcAAAAJ,Cody Messick,Massachusetts Institute of Technology,@mit.edu,['Gravitational Waves'],81222,1,1,USA,Massachusetts Institute of Technology - MIT
WZgmlGztGjkC,https://scholar.google.com/citations?view_op=medium_photo&user=WZgmlGztGjkC,Jing Wang,Massachusetts Institute of Technology,@mit.edu,['High energy physics'],76957,1,1,USA,Massachusetts Institute of Technology - MIT
